,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,NSigma,MSigma,TSigma
0,3337,1,0.00020964913790158114,120,9,0.016300365971798545,1,0,7.653508162005157
1,1131,1,0.0013906277100206393,105,7,0.01914429495381664,1,0,12.331550417204072
2,2555,1,0.0003768474222040155,68,7,0.027906555376430497,1,0,28.548510131808833
3,2022,1,0.0005865695667915908,23,18,0.09089119706543748,1,0,11.048010153570834
4,1516,1,0.0009009437849008818,12,13,0.14736456140015658,1,0,11.775271948628744
5,3153,1,0.00023178485494032135,31,10,0.07279011100744104,1,0,20.527154783777203
6,4875,1,1.0191499748911957e-05,69,11,0.036065331513257456,1,0,4.032827092450137
7,4997,1,1.4109696529653458e-07,12,11,0.16229056303400446,1,0,13.415129927951238
8,3893,1,0.0001138394848677681,10,9,0.2467024378725748,1,0,9.070641008065838
9,3927,1,0.00010501722694219784,46,9,0.040935059463566306,1,0,17.095115593182253
10,2380,1,0.0004633782608628057,19,8,0.11194933446949076,1,0,8.772515401451962
11,4910,1,7.483128188191124e-06,34,9,0.051268151009225583,1,0,4.237766853734491
12,4767,1,1.8545148454804334e-05,157,3,0.012959291941915968,1,0,10.380908088822354
13,3773,1,0.00013260386240385795,33,12,0.05827364551558406,1,0,27.582033011586663
14,2706,1,0.00034571943944715296,44,6,0.051577718821853386,1,0,2.9469333751809934
15,1294,1,0.001140534150056786,19,6,0.10201285022811138,1,0,6.804765869181238
16,4040,1,9.210058512898512e-05,13,9,0.15541941610293425,1,0,13.848564250942214
17,4986,1,9.453393407101496e-07,13,9,0.157828441529633,1,0,4.60327872831431
18,4551,1,4.098836413807528e-05,38,8,0.049578912488346866,1,0,16.54886187563367
19,3043,1,0.00025479825923725274,26,6,0.07643868720351674,1,0,5.20370208282359
20,4815,1,1.576374321651887e-05,54,15,0.03970789858339688,1,0,7.771292716147641
21,4475,1,5.047649308820613e-05,33,7,0.05549390791093545,1,0,13.606468041767972
22,4292,1,7.076253552803581e-05,104,10,0.019306584492754547,1,0,19.212151463217936
23,3469,1,0.0001735478214281431,10,9,0.1754599295885347,1,0,10.315563541747434
24,4633,1,3.176918880678567e-05,41,20,0.047391697125963965,1,0,8.638397545437828
25,3300,1,0.0001981076996686386,141,6,0.01475261949467134,1,0,9.033064729925478
26,3807,1,0.0001228727241360913,35,8,0.06492764430230485,1,0,33.94383318271917
27,3966,1,0.00010370243033862973,6,8,0.276703818943635,1,0,24.061932902416626
28,4568,1,3.5560519477391935e-05,19,16,0.10299803629705356,1,0,7.667168955668599
29,3026,1,0.00026161111540756575,34,12,0.060411320172751755,1,0,21.164974505300933
30,4528,1,4.1006546097014214e-05,16,12,0.1723392536348027,1,0,13.044359064339023
31,1986,1,0.0005826685895174478,9,8,0.23058751611802647,1,0,15.290268563393331
32,4891,1,8.606750693690048e-06,24,8,0.09403163948996722,1,0,34.7062834674823
33,4572,1,3.826678374481975e-05,7,10,0.27434286542528885,1,0,5.3506813910249
34,2588,1,0.0003673185015233211,12,10,0.1968032083396198,1,0,7.6212210616473115
35,1971,1,0.0006136701738616193,28,8,0.07109604718435986,1,0,16.734568837751013
