,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,NSigma,MSigma,TSigma
0,4997,1,0.00020038969780293542,21,10,0.11441362603971841,1,0,8.806135970980732
1,8943,1,2.450757940957559e-05,79,10,0.02425340666194455,1,0,12.43976227599828
2,1866,1,0.0008784031902754089,55,7,0.03095541060922682,1,0,14.88790735156523
3,7162,1,7.864160060726849e-05,49,20,0.04120885841111181,1,0,7.511643631163245
4,2809,1,0.0005186700452531297,10,9,0.17328835537524853,1,0,10.283376749580638
5,6913,1,8.899759924570873e-05,38,6,0.05902266065589927,1,0,15.66793844124062
6,7923,1,5.219934142790424e-05,14,10,0.17927754154552997,1,0,14.370282894808245
7,6059,1,0.00012683711126222725,21,7,0.10048138374432318,1,0,19.43883720808403
8,8378,1,4.013233595820905e-05,29,8,0.06307957594687999,1,0,12.194937883141659
9,1935,1,0.0008389150222112735,8,8,0.20621530224928708,1,0,24.40736524135714
10,4454,1,0.0002462266624068866,6,7,0.4069227243721206,1,0,11.837783201727765
11,5628,1,0.00015177161270479216,23,12,0.0888847205414643,1,0,10.540895868607684
12,3883,1,0.00031562458602522306,19,21,0.11252626482863771,1,0,12.987572784551727
13,8097,1,4.7556056818055316e-05,126,8,0.01660825023155894,1,0,13.717968106230852
14,7517,1,6.605679770763934e-05,25,13,0.08379505976883378,1,0,3.0819683899802843
15,5715,1,0.00015133522507295298,36,15,0.04604454405034343,1,0,25.432466475489225
16,9772,1,4.145364093866279e-06,13,9,0.1412051663703538,1,0,1.7297982771636466
17,1392,1,0.0012331918948160557,39,11,0.05063585020389911,1,0,15.064289185864817
18,7924,1,5.294610348063391e-05,13,11,0.16500703139808853,1,0,19.00555621352369
19,7583,1,6.35970358655486e-05,91,11,0.020957756009119168,1,0,9.41037734886079
20,5818,1,0.00014492039491220343,30,9,0.07657128066464265,1,0,13.388834281100683
21,6537,1,0.00010651180404538883,33,12,0.061965107245666395,1,0,21.632980646848278
22,9270,1,1.5884056376300816e-05,40,20,0.05080527610388798,1,0,9.541670724198978
23,4282,1,0.0002659679972957432,28,13,0.07345358699773738,1,0,7.316581661947547
24,1929,1,0.0008820507592631178,89,8,0.022690256263757282,1,0,9.520111134041958
25,4138,1,0.0002837573279827989,22,10,0.09734925403995857,1,0,9.039832221325952
26,8270,1,4.1463755768339336e-05,17,11,0.11950515103116843,1,0,15.68041795879991
27,7098,1,8.060914554876527e-05,421,8,0.004740411167302156,1,0,32.54654214675334
28,8384,1,4.029760700464877e-05,102,6,0.018889272897379687,1,0,8.7837770692681
29,2008,1,0.0007924836787211295,7,6,0.19858284533535014,1,0,5.632520771955509
30,3263,1,0.00041339882065385606,25,7,0.09226937930704143,1,0,8.453640966921727
31,9619,1,7.5837872462602626e-06,275,10,0.007177506916961833,1,0,12.208001857007654
32,5674,1,0.0001479692756302568,5,12,0.29312810383597593,1,0,11.855994594473408
33,6979,1,8.42834278806653e-05,38,11,0.048557096788978765,1,0,6.448214609163209
34,8368,1,4.0700243101424225e-05,10,22,0.1556894164773378,1,0,14.031382486154717
35,9697,1,5.826302250134372e-06,4,12,0.3527598736806657,1,0,20.074268449112324
36,5055,1,0.000193436910713085,7,10,0.21645057553545696,1,0,7.803172061371094
37,8702,1,2.989066025055906e-05,206,6,0.00939657243992408,1,0,10.433733103298204
38,7855,1,5.372087781465909e-05,8,15,0.21956788482851752,1,0,13.358428343708274
39,6671,1,9.973005558662849e-05,84,4,0.02222253949975097,1,0,8.46834251745507
40,5332,1,0.00017515362309417675,50,10,0.038499963552687484,1,0,6.4849043606935135
